Artist,Song Name
Phil Collins,Do You Remember?
"The Weeknd, Kendrick Lamar",Pray For Me
The Cars,I'm Not the One
LeAnn Rimes,How Do I Live
Mark Morrison,Return of the Mack
The Cars,You Might Think
Michael Jackson,You Are Not Alone (Single Version)
The Cars,Drive
Phil Collins,In the Air Tonight
Bing Crosby,White Christmas (feat. Ken Darby Singers & John Scott Trotter and His Orchestra)
"The Nat ""King"" Cole Trio",The Christmas Song (Chestnuts Roasting On an Open Fire)
The Doobie Brothers,What a Fool Believes
The Cars,Magic
Frank Sinatra,Jingle Bells (Remastered 1999)
"Earth, Wind & Fire",Fantasy
Kelly Clarkson,Underneath the Tree
The Cars,Hello Again
Pitbull,Fun (feat. Chris Brown)
The Cars,Why Can't I Have You
Sting,Fragile
The Cardigans,Lovefool
Next,Too Close (Radio Edit)
Christopher Cross,All Right
Christopher Cross,Think of Laura
Freestyle,Don't Stop the Rock
Anita Baker,Caught Up In the Rapture (Single Version)
*NSYNC,It's Gonna Be Me
Black Eyed Peas,Rock That Body
Luis Fonsi & Daddy Yankee,Despacito (feat. Justin Bieber) [Remix]
Katy Perry,The One That Got Away
The Police,Message In a Bottle
Sting,Englishman In New York
Bee Gees,Nights on Broadway
V.I.C.,Wobble
The Police,Can't Stand Losing You
Anita Baker,Sweet Love
The Police,Every Breath You Take
Mariah Carey,Dreamlover
Stevie Nicks,"Landslide (Live with the Melbourne Symphony, 2006)"
The Commodores,Lady (You Bring Me Up)
Yes,Love Will Find a Way
Santana,The Game of Love (feat. Michelle Branch) [Main/Radio Mix]
Sting,Seven Days
The S.O.S. Band,Just Be Good to Me
The Police,Walking On the Moon
Sam Cooke,Bring It On Home to Me
Fleetwood Mac,The Chain
Aliotta Haynes Jeremiah,Lake Shore Drive
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar)
Maroon 5,Girls Like You (feat. Cardi B)
Aly & AJ,On the Ride
Sweet,Fox On the Run
Electric Light Orchestra,Mr. Blue Sky
Lifehouse,Hanging By a Moment
Electric Light Orchestra,Turn to Stone
Patty Griffin,Mary
Michael Jackson,Off the Wall (Single Version)
The Cure,Pictures of You
REO Speedwagon,Time for Me to Fly
2Pac,California Love
Jay Sean,2012 (It Ain't the End) [feat. Nicki Minaj]
New Edition,Candy Girl
*NSYNC,I Want You Back (Radio Edit)
Alexander O'Neal,If You Were Here Tonight
Diana Ross & Lionel Richie,Endless Love (Soundtrack Version)
Guy,Let's Stay Together
Todd Rundgren,I Saw the Light
Foster the People,Sit Next to Me
Chicago,Stay the Night
Nelly Furtado & Timbaland,Promiscuous (feat. Timbaland)
Duran Duran,The Reflex (The Dance Mix) [Edited Version]
Michael Bolton,Soul Provider (Single Version)
The Cars,My Best Friend's Girl
The Cars,Just What I Needed
The Cars,You're All I've Got Tonight
The Cars,Good Times Roll
Sergio Mendes,Never Gonna Let You Go
Flo Rida,My House
The Cars,Bye Bye Love
Chicago,Along Comes a Woman (Single Edit)
The Cars,Moving In Stereo
Duran Duran,Rio (US Edit)
The Cars,Let's Go
Chicago,Will You Still Love Me? (Single Edit)
The Cars,Dangerous Type
The Cars,It's All I Can Do
The Cars,Touch and Go
Fifth Harmony,Worth It (feat. Kid Ink)
The Cars,Shake It Up
Electric Light Orchestra,Shine a Little Love
The Cars,Since You're Gone
Chicago,Hard to Say I'm Sorry / Get Away
*NSYNC & Gloria Estefan,Music of My Heart
Chicago,Love Me Tomorrow (Single Edit)
Sheryl Crow,Merry Christmas Baby
Ambrosia,How Much I Feel
Rihanna,A Child Is Born
Ke$ha,Your Love Is My Drug
Minnie Riperton,Lovin' You
Colbie Caillat,Misletoe
Ambrosia,Biggest Part of Me
Ariana Grande,"thank u, next"
Elle King,Good Girls
Calvin Harris & Rihanna,This Is What You Came For
David Naughton,Makin' It (Re-Recorded)
Stevie Nicks & Don Henley,Leather and Lace
Boyz II Men,Let It Snow
Gwen Stefani,Make Me Like You
New Edition,Can You Stand the Rain
Chicago,(I've Been) Searchin' So Long
Brian McKnight & Vince Gill,Christmas You and Me (feat. Vince Gill)
Lady A,Need You Now (iTunes Live Session Performance)
Queen & David Bowie,Under Pressure
Ariana Grande,The Way (feat. Mac Miller)
Sean Kingston,Drummer Boy
Gloriana,Can't Shake You
Kelly Rowland,Wonderful Christmastime
Ariana Grande,The Way (feat. Mac Miller) [Spanglish Version]
Akon featuring Snoop Dogg,I Wanna Love You (feat. Snoop Dogg)
Selena Gomez,Come & Get It
Katy Perry,Last Friday Night (T.G.I.F.)
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
Cupid,Cupid Shuffle
Don Mclean,American Pie (Full Length Version)
Phil Collins,You'll Be In My Heart (Phil Collins Version)
Jonas Blue,"I See Love (feat. Joe Jonas) [From ""Hotel Transylvania 3""]"
Supertramp,The Logical Song
Supertramp,Goodbye Stranger
Ariana Grande & The Weeknd,Love Me Harder
Christina Aguilera,Have Yourself a Merry Little Christmas
Ciara,Body Party (Remix) [feat. Future & B.o.B]
Halsey,Without Me
Genesis,In Too Deep
Faith Hill,Where Are You Christmas
Maroon 5,Wait
"Khalid, Megan Thee Stallion & Yo Gotti",Talk (REMIX)
The J. Geils Band,Just Can’t Wait
Carrie Underwood,What Child Is This
Martina McBride,Silver Bells
Darius Rucker,Candy Cane Christmas
Merle Haggard & Toby Keith,Rockin' Around the Christmas Tree
The Weeknd,Earned It (Fifty Shades of Grey)
Queen,Radio Ga Ga
Beastie Boys,No Sleep Till Brooklyn
Cheap Trick,Just Got Back
Evanescence,Bring Me To Life
Sam Smith & Normani,Dancing With A Stranger
Ariana Grande,Problem (feat. Iggy Azalea)
The Cure,Friday I'm In Love
Hailee Steinfeld & BloodPop®,Capital Letters
Ariana Grande,Break Free (feat. Zedd)
The Doobie Brothers,It Keeps You Runnin' (2016 Remastered)
"Zedd, Maren Morris & Grey",The Middle
Levert,Casanova
"Nelly, P. Diddy, Murphy Lee",Shake Ya Tailfeather (feat. Murphy Lee & Nelly)
Michael Jackson,P.Y.T. (Pretty Young Thing)
Bobby Helms,Jingle Bell Rock
Burl Ives,A Holly Jolly Christmas
Liam Payne & Rita Ora,For You (Fifty Shades Freed)
The Temptations,Rudolph the Red-Nosed Reindeer
*NSYNC,Home for Christmas
Carly Rae Jepsen,This Kiss
Carly Rae Jepsen,Call Me Maybe
The Chainsmokers,Closer (feat. Halsey)
Starpoint,Object of My Desire
The Sugarhill Gang,"Rapper's Delight (7"" Single Version)"
Santana,Smooth (feat. Rob Thomas)
The Cure,Just Like Heaven
Van Halen,Dance the Night Away
Journey,Any Way You Want It (2024 Remaster)
Phil Collins,Do You Remember
Corey Hart,Sunglasses at Night
Mariah Carey,Honey
Zara Larsson & MNEK,Never Forget You
Phil Collins,Groovy Kind of Love
Electric Light Orchestra,Sweet Talkin' Woman
Katy Perry,Birthday
Thomas Dolby,She Blinded Me With Science
The Chainsmokers,This Feeling (feat. Kelsea Ballerini)
Kool & The Gang,Fresh (Single Version)
Rush,Limelight
Naughty By Nature,O.P.P.
AC/DC,Thunderstruck
Yelawolf,Till It's Gone
"Nat ""King"" Cole",The Christmas Song (Merry Christmas to You)
Cheap Trick,Surrender
Meghan Trainor,NO
DJ Sezx,Turn the Lights Down Low
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane)
Bing Crosby,White Christmas
Scorpions,Still Loving You
Johnny Mathis,It's Beginning to Look a Lot Like Christmas
Kool & The Gang,Cherish
Electric Light Orchestra,Hold On Tight
Ariana Grande,Into You
The Doobie Brothers,Real Love (2016 Remastered)
Electric Light Orchestra,Don't Bring Me Down
The Police,Roxanne
Britney Spears,My Only Wish (This Year)
The Police,So Lonely
Mariah Carey,All I Want for Christmas Is You
Portugal. The Man,Feel It Still
Diana Krall,Christmas Time Is Here
Michael Bublé,Let It Snow! Let It Snow! Let It Snow!
Corey Hart,Never Surrender
Stevie B,I Wanna Be the One
The J. Geils Band,I Do
Maroon 5,Happy Christmas (War Is Over)
James Ingram,One Hundred Ways (New Version)
Taylor Swift,Shake It Off
Steely Dan & Tom Scott,Peg
Chuck Mangione,Feels So Good
Sean Kingston,Beat It (feat. Chris Brown & Wiz Khalifa)
Michael Jackson,I Just Can't Stop Loving You
Jason Derulo,In My Head
"Kendrick Lamar, SZA",All The Stars
Jason Derulo,Whatcha Say
Al Green,Let's Stay Together
Dean Martin,A Marshmallow World
Queen,Somebody to Love
Sting,If I Ever Lose My Faith In You
Eddie Money,Two Tickets to Paradise
Pitbull & Ne-Yo,Time of Our Lives
The Police,Don't Stand So Close to Me
Zara Larsson,So Good (feat. Ty Dolla $ign)
Sting,When We Dance
Andy Gibb,An Everlasting Love
The Lovin' Spoonful,Do You Believe In Magic?
Journey,The Party’s Over (Hopelessly In Love)
Karyn White,Romantic
R. Kelly,Bump n' Grind
The Emotions,Best of My Love
Andy Williams,It's the Most Wonderful Time of the Year
New Edition,If It Isn't Love
Maroon 5,She Will Be Loved
TLC,No Scrubs
Bob Welch,Sentimental Lady
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"
Charles Jones,Be Your Santa Claus
Steely Dan,Rikki Don't Lose That Number
Michael Jackson,Don't Stop 'Til You Get Enough
José Feliciano,Feliz Navidad
Rascal Flatts,Bless the Broken Road
Thurl Ravenscroft,"You're a Mean One, Mr. Grinch"
Jean-Pierre Rampal & Alexandre Lagoya,Greensleeves (What Child Is This?)
Johann Strauss Orchestra & André Rieu,Jingle Bells
Genesis,Misunderstanding
New Kids On the Block,I'll Be Loving You (Forever)
The Americanos,"In My Foreign (feat. Ty Dolla $ign, Lil Yachty, Nicky Jam & French Montana)"
Brenda Lee,Rockin' Around the Christmas Tree
Bobby Helms,Jingle Bell Rock
DJ Snake,Let Me Love You (feat. Justin Bieber)
Alvin & The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)
The Beach Boys,Little Saint Nick
ZZ Top,Tube Snake Boogie
Rihanna,Work (feat. Drake)
Selena Gomez,Back To You
Fleetwood Mac,You Make Loving Fun
Cathy Dennis,Touch Me (All Night Long)
Boston,Foreplay / Long Time
Little River Band,Reminiscing
Bee Gees,Too Much Heaven
Edwin McCain,I'll Be
TLC,Diggin' On You
Peter Gabriel,Shock the Monkey
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
Boston,More Than a Feeling
Gene Autry,Rudolph the Red Nosed Reindeer
Natasha Bedingfield,Love Like This (feat. Sean Kingston)
Holly Palmer,I Will
Zedd & Alessia Cara,Stay
John Belushi,"Louie, Louie"
Gloriana,(Kissed You) Good Night
Peter Gabriel,Sledgehammer
Sam Cooke,Twistin' the Night Away
Ed Sheeran,Perfect
Elvin Bishop,Fooled Around and Fell in Love
Taylor Swift,Delicate
Kenny Loggins,I'm Free (Heaven Helps the Man)
Black Eyed Peas,Where Is the Love?
Stealers Wheel,Stuck in the Middle with You
Jesse McCartney,Beautiful Soul
Bobby Lewis,Tossin' and Turnin'
The Weeknd,I Feel It Coming (feat. Daft Punk)
Christopher Cross,Arthur's Theme (Best That You Can Do)
Lakeside,Fantastic Voyage
TLC,Red Light Special
Journey,Only the Young (2024 Remaster)
"Earth, Wind & Fire",September
"Earth, Wind & Fire",That's the Way of the World
Keith Sweat,Make It Last Forever (with Jacci McGhee)
ZZ Top,Got Me Under Pressure
